115	99
102	40
98	126
92	172
128	158
154	150
180	110
156	240
194	220
220	196
284	162
294	124
282	88
194	44
314	44
346	64
340	184
54	506
66	532
82	570
56	576
60	624
118	616
100	588
112	650
86	656
58	700
90	692
86	726
116	722
140	724
118	784
134	812
170	750
186	790
194	808
170	856
204	856
210	878
180	888
158	916
180	978
228	930
216	914
242	884
260	898
278	916
294	930
292	958
292	972
26	1284
40	1246
20	1202
64	1118
244	988
280	1032
302	990
330	994
318	1028
284	1062
302	1096
302	1122
342	1074
398	54
434	36
446	8
484	2
406	186
396	212
370	206
524	68
586	100
644	70
638	126
562	170
546	194
520	218
438	282
548	312
532	298
622	288
678	200
656	162
686	136
410	336
416	358
432	380
446	422
476	424
502	508
552	498
574	454
564	546
658	584
664	548
552	348
528	458
496	542
654	650
382	1080
400	1170
410	1140
430	1170
444	1124
458	1154
490	1130
516	1158
416	1250
414	1274
410	1304
372	1284
556	1290
514	1212
542	1182
560	1242
572	1216
592	1264
586	1294
524	1082
502	1084
480	1064
498	1038
528	1028
532	1050
542	1008
608	998
929	318
702	300
694	264
734	256
694	92
728	126
738	154
722	190
762	116
744	70
766	34
800	24
800	102
834	96
880	92
889	124
818	196
784	192
842	228
871	210
895	222
818	254
871	26
905	8
854	6
955	136
961	104
993	108
1030	72
694	24
1038	108
1030	186
1038	222
971	226
935	220
1022	244
704	534
965	650
997	394
993	364
770	394
738	560
818	648
969	672
993	690
768	1188
798	1182
726	1264
1074	120
1046	252
1088	206
1116	236
1148	214
1132	114
1130	76
1170	88
1200	96
1242	72
1318	116
1300	72
1338	84
1342	46
1298	16
1364	146
1312	192
1282	186
1234	228
1200	222
1222	190
1186	180
1192	142
1160	304
1236	322
1216	296
1206	326
1228	258
1292	228
1330	228
1318	258
1360	272
1346	296
1380	232
1040	328
1148	598
1212	358
1368	364
1340	344
1316	356
1284	336
1288	392
1322	390
1246	370
1366	448
1344	478
1344	508
1352	538
1366	564
1312	552
1278	518
1250	530
1234	506
1160	508
1168	484
1116	466
1072	440
1070	460
1060	414
1058	358
1120	366
1158	416
1170	436
1238	460
1218	428
1202	622
1180	800
1164	774
1114	706
1396	72
1392	114
1398	266
1538	236
1569	266
1685	30
1705	38
1715	278
1434	362
1462	362
1500	366
1510	462
1402	524
1553	580
